"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"JOSH BAILEY","RW","L","2016","NYI","20","All Situations","378.83","3","4.98","8","5","3","11","8","7.69","5.56","9.22","39","54","67","0.48","0.79","1.27","0.79","0.48","1.74","1.27","6.18","8.55","10.61","10","20","11","9","1","1","19","4","3","57.14"
"MATT BELESKEY","LW","L","2016","BOS","20","All Situations","308.57","2","2.25","3","1","2","5","3","5.13","3.64","4.08","39","55","69","0.39","0.44","0.58","0.19","0.39","0.97","0.58","7.58","10.69","13.42","48","23","5","6","2","6","10","20","30","40.00"
"MATT DUCHENE","C","L","2016","COL","16","All Situations","293.53","7","4.39","6","5","1","13","12","17.95","14.00","8.78","39","50","61","1.43","0.90","1.23","1.02","0.20","2.66","2.45","7.97","10.22","12.47","4","20","14","8","2","1","14","97","59","62.18"
"PA PARENTEAU","RW","R","2016","N.J","21","All Situations","330.75","5","3.14","3","3","0","8","8","12.82","11.11","6.98","39","45","53","0.91","0.57","0.54","0.54","0.00","1.45","1.45","7.07","8.16","9.61","20","17","8","11","5","7","1","0","5","0.00"
"TOMAS HERTL","C","L","2016","S.J","17","All Situations","279.90","4","5.72","5","1","4","9","5","10.26","7.41","10.60","39","54","69","0.86","1.23","1.07","0.21","0.86","1.93","1.07","8.36","11.58","14.79","26","23","8","5","4","4","5","88","65","57.52"
"ALEKSANDER BARKOV","C","L","2016","FLA","21","All Situations","397.98","2","3.96","10","7","3","12","9","5.26","3.92","7.77","38","51","65","0.30","0.60","1.51","1.06","0.45","1.81","1.36","5.73","7.69","9.80","12","35","14","5","4","0","9","153","155","49.68"
"ANTOINE VERMETTE","C","L","2016","ANA","22","All Situations","350.37","4","4.65","5","1","4","9","5","10.53","7.55","8.77","38","53","65","0.68","0.80","0.86","0.17","0.68","1.54","0.86","6.51","9.08","11.13","21","18","5","6","2","7","16","232","116","66.67"
"ARTEM ANISIMOV","C","L","2016","CHI","22","All Situations","400.23","9","7.19","11","6","5","20","15","23.68","17.31","13.84","38","52","71","1.35","1.08","1.65","0.90","0.75","3.00","2.25","5.70","7.80","10.64","11","20","9","1","5","7","8","142","188","43.03"
"BRAYDEN SCHENN","C","L","2016","PHI","19","All Situations","334.27","3","5.68","10","6","4","13","9","7.89","5.08","9.62","38","59","72","0.54","1.02","1.79","1.08","0.72","2.33","1.62","6.82","10.59","12.92","45","25","3","10","4","5","11","18","17","51.43"
"BRENT SEABROOK","D","R","2016","CHI","23","All Situations","525.82","2","2.36","11","4","7","13","6","5.26","3.77","4.44","38","53","87","0.23","0.27","1.26","0.46","0.80","1.48","0.68","4.34","6.05","9.93","37","42","3","26","2","3","29","0","0",""
"DAVID BACKES","RW","R","2016","BOS","16","All Situations","288.98","4","5.52","4","2","2","8","6","10.53","8.00","11.05","38","50","58","0.83","1.15","0.83","0.42","0.42","1.66","1.25","7.89","10.38","12.04","45","16","5","9","5","11","9","34","41","45.33"
"IVAN PROVOROV","D","L","2016","PHI","22","All Situations","444.00","1","1.55","8","7","1","9","8","2.63","1.67","2.59","38","60","90","0.14","0.21","1.08","0.95","0.14","1.22","1.08","5.14","8.11","12.16","32","46","6","22","1","5","38","0","0",""
"JEAN-GABRIEL PAGEAU","C","R","2016","OTT","21","All Situations","343.70","2","3.01","3","1","2","5","3","5.26","4.26","6.41","38","47","55","0.35","0.53","0.52","0.17","0.35","0.87","0.52","6.63","8.20","9.60","50","32","5","8","5","2","15","115","84","57.79"
"JEFF PETRY","D","R","2016","MTL","21","All Situations","460.55","3","1.52","6","4","2","9","7","7.89","5.56","2.82","38","54","83","0.39","0.20","0.78","0.52","0.26","1.17","0.91","4.95","7.04","10.81","46","43","4","24","3","5","44","0","0",""
"JOONAS DONSKOI","RW","R","2016","S.J","22","All Situations","330.40","2","5.51","5","3","2","7","5","5.26","3.33","9.18","38","60","75","0.36","1.00","0.91","0.54","0.36","1.27","0.91","6.90","10.90","13.62","10","46","13","11","7","3","8","0","0",""
"MATT NISKANEN","D","R","2016","WSH","21","All Situations","468.37","0","1.65","9","4","5","9","4","0.00","0.00","2.79","38","59","87","0.00","0.21","1.15","0.51","0.64","1.15","0.51","4.87","7.56","11.15","29","28","11","25","2","3","27","0","0",""
"NICK LEDDY","D","L","2016","NYI","19","All Situations","433.83","4","1.98","6","4","2","10","8","10.53","7.55","3.74","38","53","73","0.55","0.27","0.83","0.55","0.28","1.38","1.11","5.26","7.33","10.10","21","18","4","5","2","3","31","0","0",""
"NINO NIEDERREITER","RW","L","2016","MIN","21","All Situations","303.68","7","3.23","6","4","2","13","11","18.42","14.58","6.72","38","48","66","1.38","0.64","1.19","0.79","0.40","2.57","2.17","7.51","9.48","13.04","31","30","7","7","5","4","3","0","0",""
"RADEK FAKSA","C","L","2016","DAL","22","All Situations","359.70","2","6.07","6","3","3","8","5","5.26","3.51","10.65","38","57","66","0.33","1.01","1.00","0.50","0.50","1.33","0.83","6.34","9.51","11.01","28","26","16","5","12","5","14","165","167","49.70"
"SHANE DOAN","RW","R","2016","ARI","19","All Situations","300.70","2","3.29","4","2","2","6","4","5.26","4.35","7.15","38","46","56","0.40","0.66","0.80","0.40","0.40","1.20","0.80","7.58","9.18","11.17","34","22","2","7","1","1","11","29","24","54.72"
"TANNER PEARSON","LW","L","2016","L.A","20","All Situations","315.02","7","5.42","4","4","0","11","11","18.42","11.11","8.60","38","63","84","1.33","1.03","0.76","0.76","0.00","2.10","2.10","7.24","12.00","16.00","34","27","7","6","6","0","3","0","3","0.00"
"TYLER PITLICK","C","R","2016","EDM","22","All Situations","217.88","6","2.67","1","1","0","7","7","15.79","13.95","6.20","38","43","48","1.65","0.73","0.28","0.28","0.00","1.93","1.93","10.46","11.84","13.22","51","20","3","5","1","2","8","3","2","60.00"
"ANDRE BURAKOVSKY","LW","L","2016","WSH","21","All Situations","311.33","2","3.86","8","3","5","10","5","5.41","3.77","7.29","37","53","78","0.39","0.74","1.54","0.58","0.96","1.93","0.96","7.13","10.21","15.03","9","19","12","13","1","2","9","0","1","0.00"
"BRYAN RUST","RW","R","2016","PIT","19","All Situations","239.57","3","3.61","3","3","0","6","6","8.11","6.25","7.52","37","48","57","0.75","0.90","0.75","0.75","0.00","1.50","1.50","9.27","12.02","14.28","33","47","4","7","4","2","10","1","0","100.00"
"DARNELL NURSE","D","L","2016","EDM","22","All Situations","389.78","3","1.78","2","1","1","5","4","8.11","6.00","3.56","37","50","67","0.46","0.27","0.31","0.15","0.15","0.77","0.62","5.70","7.70","10.31","54","26","7","15","0","8","18","0","0",""
"JARED SPURGEON","D","R","2016","MIN","17","All Situations","402.45","1","2.01","4","3","1","5","4","2.70","2.33","4.68","37","43","64","0.15","0.30","0.60","0.45","0.15","0.75","0.60","5.52","6.41","9.54","8","31","6","4","1","2","36","0","0",""
"JASON SPEZZA","C","R","2016","DAL","15","All Situations","248.07","4","4.07","4","1","3","8","5","10.81","7.14","7.26","37","56","71","0.97","0.98","0.97","0.24","0.73","1.93","1.21","8.95","13.54","17.17","4","7","7","12","1","1","6","84","70","54.55"
"KEVIN BIEKSA","D","R","2016","ANA","22","All Situations","450.75","1","1.98","0","0","0","1","1","2.70","2.00","3.95","37","50","74","0.13","0.26","0.00","0.00","0.00","0.13","0.13","4.93","6.66","9.85","54","17","3","8","7","8","20","0","0",""
"KYLE PALMIERI","RW","R","2016","N.J","19","All Situations","305.90","3","3.72","6","4","2","9","7","8.11","5.26","6.52","37","57","81","0.59","0.73","1.18","0.78","0.39","1.77","1.37","7.26","11.18","15.89","39","30","6","12","3","7","10","3","5","37.50"
"MARCUS FOLIGNO","LW","L","2016","BUF","21","All Situations","341.68","4","4.75","2","0","2","6","4","10.81","8.16","9.69","37","49","64","0.70","0.83","0.35","0.00","0.35","1.05","0.70","6.50","8.60","11.24","70","23","9","9","9","4","17","0","0",""
"MARKUS GRANLUND","C","L","2016","VAN","22","All Situations","366.80","5","4.29","4","4","0","9","9","13.51","9.43","8.09","37","53","65","0.82","0.70","0.65","0.65","0.00","1.47","1.47","6.05","8.67","10.63","10","22","11","4","2","3","3","29","42","40.85"
"MARTIN HANZAL","C","L","2016","ARI","14","All Situations","261.62","3","4.88","4","3","1","7","6","8.11","6.25","10.17","37","48","56","0.69","1.12","0.92","0.69","0.23","1.61","1.38","8.49","11.01","12.84","28","12","4","10","6","1","13","171","129","57.00"
"MIKAEL GRANLUND","C","L","2016","MIN","21","All Situations","407.38","5","4.14","9","6","3","14","11","13.51","8.62","7.13","37","58","75","0.74","0.61","1.33","0.88","0.44","2.06","1.62","5.45","8.54","11.05","14","41","8","7","4","1","11","4","5","44.44"
"MIKE GREEN","D","R","2016","DET","22","All Situations","536.40","4","2.04","8","4","4","12","8","10.81","7.27","3.71","37","55","88","0.45","0.23","0.89","0.45","0.45","1.34","0.89","4.14","6.15","9.84","18","47","9","18","4","9","26","0","0",""
"NOAH HANIFIN","D","L","2016","CAR","20","All Situations","350.03","1","1.93","7","4","3","8","5","2.70","2.04","3.94","37","49","76","0.17","0.33","1.20","0.69","0.51","1.37","0.86","6.34","8.40","13.03","14","29","7","12","0","5","9","0","0",""
"SCOTT WILSON","LW","L","2016","PIT","20","All Situations","250.23","3","3.62","3","2","1","6","5","8.11","6.38","7.70","37","47","61","0.72","0.87","0.72","0.48","0.24","1.44","1.20","8.87","11.27","14.63","45","42","3","3","7","3","9","1","0","100.00"
"TJ OSHIE","RW","R","2016","WSH","17","All Situations","292.25","8","5.16","4","4","0","12","12","21.62","15.38","9.92","37","52","60","1.64","1.06","0.82","0.82","0.00","2.46","2.46","7.60","10.68","12.32","18","21","12","9","6","5","10","23","20","53.49"
"TROY BROUWER","RW","R","2016","CGY","23","All Situations","401.92","5","3.22","4","3","1","9","8","13.51","10.64","6.85","37","47","57","0.75","0.48","0.60","0.45","0.15","1.34","1.19","5.52","7.02","8.51","52","15","8","7","5","8","14","9","17","34.62"
"CHRIS KUNITZ","LW","L","2016","PIT","18","All Situations","292.17","2","3.46","9","3","6","11","5","5.56","4.35","7.52","36","46","56","0.41","0.71","1.85","0.62","1.23","2.26","1.03","7.39","9.45","11.50","59","25","8","9","5","7","6","3","4","42.86"
"CODY CECI","D","R","2016","OTT","21","All Situations","475.38","0","1.95","2","1","1","2","1","0.00","0.00","3.97","36","49","70","0.00","0.25","0.25","0.13","0.13","0.25","0.13","4.54","6.18","8.84","41","39","6","21","1","3","43","0","0",""
"DEVANTE SMITH-PELLY","RW","R","2016","N.J","19","All Situations","260.28","2","3.92","4","2","2","6","4","5.56","4.08","8.01","36","49","52","0.46","0.90","0.92","0.46","0.46","1.38","0.92","8.30","11.30","11.99","29","27","7","5","4","1","8","6","1","85.71"
"LAURI KORPIKOSKI","LW","L","2016","DAL","22","All Situations","314.07","4","3.7","4","3","1","8","7","11.11","8.89","8.22","36","45","63","0.76","0.71","0.76","0.57","0.19","1.53","1.34","6.88","8.60","12.04","13","17","7","7","1","1","11","0","2","0.00"
"NICK BONINO","C","L","2016","PIT","22","All Situations","372.95","1","3.24","7","4","3","8","5","2.78","2.27","7.36","36","44","53","0.16","0.52","1.13","0.64","0.48","1.29","0.80","5.79","7.08","8.53","17","22","12","9","2","4","29","172","179","49.00"
"PAUL STASTNY","C","L","2016","STL","22","All Situations","448.72","6","5.79","7","6","1","13","12","16.67","12.24","11.82","36","49","59","0.80","0.77","0.94","0.80","0.13","1.74","1.60","4.81","6.55","7.89","14","11","11","4","1","9","10","259","206","55.70"
"RICKARD RAKELL","C","R","2016","ANA","13","All Situations","227.78","8","2.82","4","2","2","12","10","22.22","16.67","5.88","36","48","59","2.11","0.74","1.05","0.53","0.53","3.16","2.63","9.48","12.64","15.54","24","17","2","4","1","0","6","10","9","52.63"
"RYAN DZINGEL","LW","L","2016","OTT","21","All Situations","286.82","5","4.99","6","4","2","11","9","13.89","10.87","10.85","36","46","54","1.05","1.04","1.26","0.84","0.42","2.30","1.88","7.53","9.62","11.30","13","10","10","5","4","1","10","2","4","33.33"
"RYAN HARTMAN","LW","R","2016","CHI","18","All Situations","196.33","5","3.03","1","1","0","6","6","13.89","11.36","6.88","36","44","55","1.53","0.92","0.31","0.31","0.00","1.83","1.83","11.00","13.45","16.81","23","26","4","6","7","1","7","2","3","40.00"
"RYAN MCDONAGH","D","L","2016","NYR","22","All Situations","523.52","0","1.68","13","9","4","13","9","0.00","0.00","3.49","36","48","69","0.00","0.19","1.49","1.03","0.46","1.49","1.03","4.13","5.50","7.91","22","22","11","16","4","4","36","0","0",""
"TYLER BOZAK","C","R","2016","TOR","21","All Situations","340.12","5","5.65","10","6","4","15","11","13.89","10.20","11.54","36","49","57","0.88","1.00","1.76","1.06","0.71","2.65","1.94","6.35","8.64","10.06","17","20","14","10","3","2","5","188","131","58.93"
"ANDREW LADD","LW","L","2016","NYI","20","All Situations","337.45","2","4.26","1","1","0","3","3","5.71","4.08","8.69","35","49","67","0.36","0.76","0.18","0.18","0.00","0.53","0.53","6.22","8.71","11.91","21","22","12","13","3","8","8","1","2","33.33"
"BEAU BENNETT","RW","R","2016","N.J","20","All Situations","277.07","1","2.47","6","3","3","7","4","2.86","1.96","4.85","35","51","63","0.22","0.54","1.30","0.65","0.65","1.52","0.87","7.58","11.04","13.64","20","17","6","7","3","3","4","1","3","25.00"
"JIMMY VESEY","LW","L","2016","NYR","22","All Situations","321.53","7","5.36","6","3","3","13","10","20.00","14.89","11.41","35","47","63","1.31","1.00","1.12","0.56","0.56","2.43","1.87","6.53","8.77","11.76","17","23","15","9","2","1","10","0","1","0.00"
"JOHN MOORE","D","L","2016","N.J","21","All Situations","415.05","4","2","6","2","4","10","6","11.43","8.00","4.00","35","50","73","0.58","0.29","0.87","0.29","0.58","1.45","0.87","5.06","7.23","10.55","20","29","0","20","1","4","19","0","0",""
"JUSTIN ABDELKADER","LW","L","2016","DET","20","All Situations","342.17","4","3.91","4","2","2","8","6","11.43","8.51","8.31","35","47","56","0.70","0.69","0.70","0.35","0.35","1.40","1.05","6.14","8.24","9.82","50","27","7","5","12","2","7","0","3","0.00"
"KEVIN HAYES","C","L","2016","NYR","22","All Situations","357.57","10","3.18","9","5","4","19","15","28.57","21.28","6.77","35","47","58","1.68","0.53","1.51","0.84","0.67","3.19","2.52","5.87","7.89","9.73","13","23","16","23","1","3","16","128","138","48.12"
"KYLE CLIFFORD","LW","L","2016","L.A","20","All Situations","206.18","2","2.6","2","2","0","4","4","5.71","4.35","5.66","35","46","49","0.58","0.76","0.58","0.58","0.00","1.16","1.16","10.19","13.39","14.26","42","24","7","1","2","8","2","0","1","0.00"
"MATTHEW TKACHUK","LW","L","2016","CGY","19","All Situations","271.52","5","4.74","4","1","3","9","6","14.29","9.09","8.62","35","55","65","1.10","1.05","0.88","0.22","0.66","1.99","1.33","7.73","12.15","14.36","20","15","8","6","15","10","3","1","5","16.67"
"PATRIK BERGLUND","C","L","2016","STL","22","All Situations","328.77","1","3.18","5","2","3","6","3","2.86","1.82","5.78","35","55","68","0.18","0.58","0.91","0.36","0.55","1.09","0.55","6.39","10.04","12.41","45","19","6","5","5","4","11","138","129","51.69"
"SAM BENNETT","C","L","2016","CGY","23","All Situations","354.08","5","4.13","6","2","4","11","7","14.29","9.80","8.11","35","51","69","0.85","0.70","1.02","0.34","0.68","1.86","1.19","5.93","8.64","11.69","42","17","12","6","7","13","8","86","92","48.31"
"SVEN BAERTSCHI","LW","L","2016","VAN","20","All Situations","293.08","2","3.32","7","3","4","9","5","5.71","4.65","7.72","35","43","52","0.41","0.68","1.43","0.61","0.82","1.84","1.02","7.17","8.80","10.65","11","26","5","4","1","1","10","1","0","100.00"
"ZEMGUS GIRGENSONS","C","L","2016","BUF","21","All Situations","264.67","1","3.64","3","3","0","4","4","2.86","2.22","8.10","35","45","57","0.23","0.83","0.68","0.68","0.00","0.91","0.91","7.93","10.20","12.92","27","24","2","1","6","1","9","85","77","52.47"
"ALEXANDER RADULOV","RW","L","2016","MTL","20","All Situations","317.23","4","4.98","14","11","3","18","15","11.76","8.00","9.97","34","50","63","0.76","0.94","2.65","2.08","0.57","3.40","2.84","6.43","9.46","11.92","24","42","16","16","4","8","9","2","1","66.67"
"ANDERS LEE","LW","L","2016","NYI","20","All Situations","255.38","4","3.9","1","1","0","5","5","11.76","8.70","8.47","34","46","56","0.94","0.92","0.23","0.23","0.00","1.17","1.17","7.99","10.81","13.16","54","15","8","4","3","5","10","1","3","25.00"
"BO HORVAT","C","L","2016","VAN","22","All Situations","374.68","7","6.23","8","6","2","15","13","20.59","11.29","10.05","34","62","68","1.12","1.00","1.28","0.96","0.32","2.40","2.08","5.44","9.93","10.89","29","20","9","3","3","8","8","183","177","50.83"
"CALVIN DE HAAN","D","L","2016","NYI","20","All Situations","369.28","1","0.82","6","4","2","7","5","2.94","2.17","1.78","34","46","64","0.16","0.13","0.97","0.65","0.32","1.14","0.81","5.52","7.47","10.40","32","27","5","15","2","10","43","0","0",""
"COLIN WILSON","C","L","2016","NSH","19","All Situations","288.57","4","3.77","5","3","2","9","7","11.76","9.30","8.76","34","43","54","0.83","0.78","1.04","0.62","0.42","1.87","1.46","7.07","8.94","11.23","14","20","8","8","3","3","9","0","3","0.00"
"DAMON SEVERSON","D","R","2016","N.J","21","All Situations","438.57","3","2.14","9","5","4","12","8","8.82","6.82","4.86","34","44","75","0.41","0.29","1.23","0.68","0.55","1.64","1.09","4.65","6.02","10.26","23","20","6","24","7","5","16","0","0",""
"JESSE PULJUJARVI","RW","R","2016","EDM","18","All Situations","225.00","1","2.3","6","6","0","7","7","2.94","2.08","4.79","34","48","59","0.27","0.61","1.60","1.60","0.00","1.87","1.87","9.07","12.80","15.73","6","13","8","10","2","2","7","0","1","0.00"
"JOEL WARD","RW","R","2016","S.J","22","All Situations","355.62","2","4.5","3","2","1","5","4","5.88","4.08","9.18","34","49","62","0.34","0.76","0.51","0.34","0.17","0.84","0.67","5.74","8.27","10.46","17","33","9","17","4","2","12","55","56","49.55"
"MARC METHOT","D","L","2016","OTT","21","All Situations","427.58","0","1.35","3","1","2","3","1","0.00","0.00","3.64","34","37","50","0.00","0.19","0.42","0.14","0.28","0.42","0.14","4.77","5.19","7.02","45","22","3","16","3","2","22","0","0",""
"MATT READ","RW","R","2016","PHI","22","All Situations","328.25","6","3.98","3","2","1","9","8","17.65","13.95","9.26","34","43","53","1.10","0.73","0.55","0.37","0.18","1.65","1.46","6.21","7.86","9.69","42","45","8","6","2","1","13","1","4","20.00"
"ONDREJ PALAT","LW","L","2016","T.B","22","All Situations","386.30","4","5.16","8","4","4","12","8","11.76","8.16","10.54","34","49","64","0.62","0.80","1.24","0.62","0.62","1.86","1.24","5.28","7.61","9.94","41","48","25","12","7","6","10","1","4","20.00"
"RENE BOURQUE","RW","L","2016","COL","18","All Situations","265.20","7","3.73","1","1","0","8","8","20.59","14.29","7.62","34","49","62","1.58","0.84","0.23","0.23","0.00","1.81","1.81","7.69","11.09","14.03","29","16","6","2","2","3","9","0","3","0.00"
"ROBBY FABBRI","C","L","2016","STL","21","All Situations","335.62","4","3.2","5","4","1","9","8","11.76","9.09","7.26","34","44","57","0.72","0.57","0.89","0.72","0.18","1.61","1.43","6.08","7.87","10.19","29","19","10","6","8","10","10","3","3","50.00"
"TREVOR LEWIS","C","R","2016","L.A","22","All Situations","293.75","2","2.44","4","3","1","6","5","5.88","4.35","5.30","34","46","53","0.41","0.50","0.82","0.61","0.20","1.23","1.02","6.94","9.40","10.83","46","40","4","5","1","2","8","22","36","37.93"
"ADAM HENRIQUE","C","L","2016","N.J","21","All Situations","387.78","4","4.31","5","3","2","9","7","12.12","8.33","8.97","33","48","65","0.62","0.67","0.77","0.46","0.31","1.39","1.08","5.11","7.43","10.06","29","25","8","11","3","6","19","161","166","49.24"
"ALEX GOLIGOSKI","D","L","2016","ARI","19","All Situations","444.67","0","1.13","8","4","4","8","4","0.00","0.00","2.75","33","41","56","0.00","0.15","1.08","0.54","0.54","1.08","0.54","4.45","5.53","7.56","18","21","1","10","1","2","27","0","0",""
"BOBBY RYAN","RW","R","2016","OTT","19","All Situations","297.38","3","3.75","5","4","1","8","7","9.09","6.82","8.52","33","44","59","0.61","0.76","1.01","0.81","0.20","1.61","1.41","6.66","8.88","11.90","20","13","4","10","4","2","10","1","1","50.00"
"BRANDON TANEV","LW","L","2016","WPG","23","All Situations","276.95","2","3.11","1","0","1","3","2","6.06","4.55","7.08","33","44","51","0.43","0.67","0.22","0.00","0.22","0.65","0.43","7.15","9.53","11.05","58","31","10","5","9","3","14","0","0",""
"CAL CLUTTERBUCK","RW","R","2016","NYI","19","All Situations","297.63","2","3.28","5","3","2","7","5","6.06","4.55","7.45","33","44","54","0.40","0.66","1.01","0.60","0.40","1.41","1.01","6.65","8.87","10.89","72","33","8","9","2","6","8","1","2","33.33"
"DMITRY ORLOV","D","L","2016","WSH","21","All Situations","401.30","1","1.64","6","5","1","7","6","3.03","2.17","3.57","33","46","64","0.15","0.25","0.90","0.75","0.15","1.05","0.90","4.93","6.88","9.57","33","22","9","19","2","5","26","0","0",""
"EVGENY KUZNETSOV","C","L","2016","WSH","21","All Situations","360.33","3","2.7","6","4","2","9","7","9.09","6.38","5.73","33","47","73","0.50","0.45","1.00","0.67","0.33","1.50","1.17","5.49","7.83","12.16","12","14","9","15","6","5","5","129","178","42.02"
"GABRIEL LANDESKOG","LW","L","2016","COL","15","All Situations","277.60","4","4.52","4","2","2","8","6","12.12","9.30","10.52","33","43","57","0.86","0.98","0.86","0.43","0.43","1.73","1.30","7.13","9.29","12.32","31","17","22","5","6","5","6","9","13","40.91"
"JAKE GARDINER","D","L","2016","TOR","21","All Situations","414.30","4","1.97","5","2","3","9","6","12.12","8.89","4.38","33","45","79","0.58","0.29","0.72","0.29","0.43","1.30","0.87","4.78","6.52","11.44","17","34","8","24","1","5","17","0","0",""
"JASON GARRISON","D","L","2016","T.B","22","All Situations","405.97","1","1.12","2","1","1","3","2","3.03","1.96","2.19","33","51","61","0.15","0.17","0.30","0.15","0.15","0.44","0.30","4.88","7.54","9.02","27","26","6","13","1","4","31","0","0",""
"JIMMY HAYES","RW","R","2016","BOS","19","All Situations","201.63","0","2.11","0","0","0","0","0","0.00","0.00","5.40","33","39","52","0.00","0.63","0.00","0.00","0.00","0.00","0.00","9.82","11.61","15.47","27","15","6","4","4","5","2","1","3","25.00"
"PIERRE-EDOUARD BELLEMARE","LW","L","2016","PHI","22","All Situations","308.77","0","1.89","3","2","1","3","2","0.00","0.00","4.40","33","43","51","0.00","0.37","0.58","0.39","0.19","0.58","0.39","6.41","8.36","9.91","26","25","3","4","2","1","15","117","114","50.65"
"ADAM LOWRY","C","L","2016","WPG","23","All Situations","367.92","5","5.24","2","1","1","7","6","15.62","11.90","12.49","32","42","50","0.82","0.86","0.33","0.16","0.16","1.14","0.98","5.22","6.85","8.15","57","32","9","7","2","8","13","173","187","48.06"
"ALEX CHIASSON","RW","R","2016","CGY","23","All Situations","302.83","3","2.65","2","1","1","5","4","9.38","7.50","6.63","32","40","48","0.59","0.53","0.40","0.20","0.20","0.99","0.79","6.34","7.93","9.51","25","28","7","7","2","7","3","0","11","0.00"
"ANDREI MARKOV","D","L","2016","MTL","22","All Situations","485.90","2","1.51","15","10","5","17","12","6.25","4.26","3.22","32","47","78","0.25","0.19","1.85","1.23","0.62","2.10","1.48","3.95","5.80","9.63","15","35","10","21","2","3","15","0","0",""
"DWIGHT KING","LW","L","2016","L.A","22","All Situations","339.02","4","3.19","4","3","1","8","7","12.50","8.89","7.08","32","45","51","0.71","0.56","0.71","0.53","0.18","1.42","1.24","5.66","7.96","9.03","33","25","5","7","1","3","5","3","4","42.86"
"ERIK HAULA","LW","L","2016","MIN","14","All Situations","203.17","3","2.93","2","1","1","5","4","9.38","8.11","7.93","32","37","44","0.89","0.87","0.59","0.30","0.30","1.48","1.18","9.45","10.93","12.99","6","9","5","6","4","2","6","79","75","51.30"
"JOAKIM NORDSTROM","LW","L","2016","CAR","20","All Situations","266.90","1","3.04","2","2","0","3","3","3.12","2.38","7.24","32","42","48","0.22","0.68","0.45","0.45","0.00","0.67","0.67","7.19","9.44","10.79","26","33","7","4","3","2","12","2","4","33.33"
"MIKKO KOIVU","C","L","2016","MIN","21","All Situations","422.43","4","5.67","7","2","5","11","6","12.50","8.51","12.07","32","47","64","0.57","0.81","0.99","0.28","0.71","1.56","0.85","4.55","6.68","9.09","6","15","12","10","3","3","24","277","213","56.53"
"RICHARD PANIK","RW","L","2016","CHI","23","All Situations","322.93","6","3.92","4","2","2","10","8","18.75","13.95","9.12","32","43","56","1.11","0.73","0.74","0.37","0.37","1.86","1.49","5.95","7.99","10.40","48","41","13","9","3","2","8","0","3","0.00"
"TEUVO TERAVAINEN","LW","L","2016","CAR","20","All Situations","313.35","5","3.11","5","1","4","10","6","15.62","10.00","6.21","32","50","66","0.96","0.59","0.96","0.19","0.77","1.91","1.15","6.13","9.57","12.64","7","19","9","9","4","0","4","10","18","35.71"
"VLADISLAV NAMESTNIKOV","C","L","2016","T.B","22","All Situations","324.83","3","4.91","7","2","5","10","5","9.38","6.98","11.41","32","43","51","0.55","0.91","1.29","0.37","0.92","1.85","0.92","5.91","7.94","9.42","8","30","5","7","2","6","7","46","53","46.46"
"BRANDON MANNING","D","L","2016","PHI","21","All Situations","390.90","3","1.34","6","2","4","9","5","9.68","7.69","3.44","31","39","68","0.46","0.21","0.92","0.31","0.61","1.38","0.77","4.76","5.99","10.44","48","41","1","17","11","4","22","0","0",""
"BRANDON PIRRI","RW","L","2016","NYR","22","All Situations","276.00","5","4.39","5","3","2","10","8","16.13","10.00","8.77","31","50","62","1.09","0.95","1.09","0.65","0.43","2.17","1.74","6.74","10.87","13.48","15","21","6","9","2","5","7","70","46","60.34"
"CODY FRANSON","D","R","2016","BUF","21","All Situations","384.18","1","0.87","5","0","5","6","1","3.23","2.50","2.18","31","40","62","0.16","0.14","0.78","0.00","0.78","0.94","0.16","4.84","6.25","9.68","16","19","4","11","5","3","20","0","0",""
"ERIK GUDBRANSON","D","R","2016","VAN","22","All Situations","444.55","0","1.07","3","3","0","3","3","0.00","0.00","2.50","31","43","69","0.00","0.14","0.40","0.40","0.00","0.40","0.40","4.18","5.80","9.31","49","49","3","17","6","1","24","0","0",""
"JAY BOUWMEESTER","D","L","2016","STL","22","All Situations","504.12","1","1.25","2","1","1","3","2","3.23","2.38","2.99","31","42","60","0.12","0.15","0.24","0.12","0.12","0.36","0.24","3.69","5.00","7.14","20","35","5","13","2","6","23","0","0",""
"JONAS BRODIN","D","L","2016","MIN","21","All Situations","419.80","2","0.98","8","4","4","10","6","6.45","4.35","2.13","31","46","67","0.29","0.14","1.14","0.57","0.57","1.43","0.86","4.43","6.57","9.58","6","35","4","9","3","5","29","0","0",""
"JOSH ANDERSON","RW","R","2016","CBJ","20","All Situations","238.77","6","3.04","1","1","0","7","7","19.35","16.22","8.21","31","37","49","1.51","0.76","0.25","0.25","0.00","1.76","1.76","7.79","9.30","12.31","32","25","4","9","8","8","13","5","8","38.46"
"MARK STONE","RW","R","2016","OTT","20","All Situations","355.47","5","4.15","7","4","3","12","9","16.13","12.50","10.38","31","40","52","0.84","0.70","1.18","0.68","0.51","2.03","1.52","5.23","6.75","8.78","17","24","23","16","2","3","12","3","3","50.00"
