"Player","Season","GP","Team","Strength","TOI","GA","SA","FA","xGA","CA","GA60","SA60","FA60","xGA60","CA60","Sv%","xFSv%","FSv%","Adj Sv%","Miss%"
"DARCY KUEMPER","2016","1","MIN","All Situations","60.00","3","30","47","2.8","72","3.00","30.00","47.00","2.80","72.00","90.00","94.03","93.62","-0.41","36.17"
"LOUIS DOMINGUE","2016","2","ARI","All Situations","37.45","7","30","38","2.66","46","11.21","48.06","60.88","4.26","73.70","76.67","92.99","81.58","-11.41","21.05"
"CAREY PRICE","2016","1","MTL","All Situations","59.18","2","29","39","2.27","58","2.03","29.40","39.54","2.30","58.80","93.10","94.18","94.87","0.69","25.64"
"PETER BUDAJ","2016","2","L.A","All Situations","81.22","3","29","43","2.5","59","2.22","21.42","31.77","1.85","43.59","89.66","94.18","93.02","-1.16","32.56"
"JAMES REIMER","2016","1","FLA","All Situations","64.78","3","28","36","2.61","43","2.78","25.93","33.34","2.41","39.83","89.29","92.76","91.67","-1.09","22.22"
"THOMAS GREISS","2016","1","NYI","All Situations","58.27","2","28","38","1.98","58","2.06","28.83","39.13","2.03","59.72","92.86","94.80","94.74","-0.06","26.32"
"JHONAS ENROTH","2016","1","TOR","All Situations","58.38","3","27","37","2.63","57","3.08","27.75","38.03","2.70","58.58","88.89","92.89","91.89","-1.00","27.03"
"MAREK MAZANEC","2016","1","NSH","All Situations","58.43","5","27","39","2.58","50","5.13","27.73","40.05","2.65","51.34","81.48","93.39","87.18","-6.21","30.77"
"ANDREW HAMMOND","2016","1","OTT","All Situations","60.00","5","25","31","2.41","41","5.00","25.00","31.00","2.41","41.00","80.00","92.24","83.87","-8.37","19.35"
"RYAN MILLER","2016","1","VAN","All Situations","64.95","0","25","32","1.33","40","0.00","23.09","29.56","1.23","36.95","100.00","95.83","100.00","4.17","21.88"
"ANTON KHUDOBIN","2016","1","BOS","All Situations","59.70","4","24","37","3.4","50","4.02","24.12","37.19","3.42","50.25","83.33","90.81","89.19","-1.62","35.14"
"JUSTIN PETERS","2016","1","ARI","All Situations","34.18","1","24","34","3.26","44","1.76","42.13","59.68","5.72","77.24","95.83","90.42","97.06","6.64","29.41"
"AARON DELL","2016","1","S.J","All Situations","60.00","2","23","31","1.4","44","2.00","23.00","31.00","1.40","44.00","91.30","95.50","93.55","-1.95","25.81"
"PHILIPP GRUBAUER","2016","1","WSH","All Situations","60.00","0","18","27","1.2","36","0.00","18.00","27.00","1.20","36.00","100.00","95.54","100.00","4.46","33.33"
"JONATHAN QUICK","2016","1","L.A","All Situations","19.93","1","15","23","1.9","32","3.01","45.16","69.24","5.73","96.34","93.33","91.72","95.65","3.93","34.78"
"JONAS GUSTAVSSON","2016","1","EDM","All Situations","10.07","0","1","3","0.11","6","0.00","5.96","17.87","0.65","35.75","100.00","96.38","100.00","3.62","66.67"
