"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"PAVEL BUCHNEVICH","RW","L","2016","NYR","7","All Situations","105.62","1","1.98","2","1","1","3","2","7.14","4.55","9.02","14","22","29","0.57","1.13","1.14","0.57","0.57","1.70","1.14","7.95","12.50","16.47","3","6","4","6","0","2","2","0","1","0.00"
"SHANE PRINCE","LW","L","2016","NYI","7","All Situations","88.73","3","1.35","3","3","0","6","6","25.00","21.43","9.66","12","14","21","2.03","0.91","2.03","2.03","0.00","4.06","4.06","8.11","9.47","14.20","9","9","2","3","1","3","0","1","1","50.00"
"THOMAS VANEK","LW","R","2016","DET","7","All Situations","92.28","4","2.1","4","3","1","8","7","30.77","23.53","12.36","13","17","22","2.60","1.37","2.60","1.95","0.65","5.20","4.55","8.45","11.05","14.30","3","1","4","3","0","3","0","0","1","0.00"
"TOM SESTITO","LW","L","2016","PIT","7","All Situations","38.85","0","0.18","1","1","0","1","1","0.00","0.00","8.82","2","2","4","0.00","0.27","1.54","1.54","0.00","1.54","1.54","3.09","3.09","6.18","15","4","0","0","0","3","1","0","0",""
"BRETT CONNOLLY","RW","R","2016","WSH","6","All Situations","54.42","1","0.92","0","0","0","1","1","10.00","8.33","7.66","10","12","13","1.10","1.01","0.00","0.00","0.00","1.10","1.10","11.03","13.23","14.33","14","5","1","0","0","1","1","0","0",""
"DAVID BACKES","RW","R","2016","BOS","6","All Situations","110.80","2","2.24","2","1","1","4","3","15.38","13.33","14.93","13","15","19","1.08","1.21","1.08","0.54","0.54","2.17","1.62","7.04","8.12","10.29","25","6","2","2","1","6","4","31","38","44.93"
"DREW STAFFORD","RW","R","2016","WPG","6","All Situations","79.27","0","0.26","1","0","1","1","0","0.00","0.00","3.69","6","7","9","0.00","0.20","0.76","0.00","0.76","0.76","0.00","4.54","5.30","6.81","2","2","1","7","0","1","0","0","3","0.00"
"DYLAN STROME","C","L","2016","ARI","6","All Situations","80.62","0","0.46","1","1","0","1","1","0.00","0.00","4.57","4","10","13","0.00","0.34","0.74","0.74","0.00","0.74","0.74","2.98","7.44","9.68","3","1","3","0","1","0","2","26","34","43.33"
"GEMEL SMITH","C","L","2016","DAL","6","All Situations","70.35","0","0.64","1","1","0","1","1","0.00","0.00","7.09","7","9","12","0.00","0.54","0.85","0.85","0.00","0.85","0.85","5.97","7.68","10.23","2","7","1","2","2","2","2","12","15","44.44"
"HUDSON FASCHING","RW","R","2016","BUF","6","All Situations","52.47","0","0.3","0","0","0","0","0","0.00","0.00","10.10","3","3","4","0.00","0.35","0.00","0.00","0.00","0.00","0.00","3.43","3.43","4.57","10","2","0","1","0","1","1","0","0",""
